external_settlement_id,source,amount,currency,settlement_date,reference,status
SET_001,razorpay,10000.00,INR,2026-01-15T15:30:00,PAY_REF_001,settled
SET_002,stripe,5500.50,INR,2026-01-15T16:00:00,PAY_REF_002,settled
SET_003,razorpay,24750.00,INR,2026-01-15T16:30:00,PAY_REF_003,settled
SET_004,bank_hdfc,75000.00,INR,2026-01-15T17:30:00,PAY_REF_004,settled
SET_005,stripe,12500.75,INR,2026-01-15T18:00:00,PAY_REF_005,settled
SET_006,razorpay,2950.25,INR,2026-01-15T18:30:00,PAY_REF_006,settled
SET_007,bank_icici,45000.00,INR,2026-01-15T19:00:00,PAY_REF_007,settled
SET_008,stripe,8900.50,INR,2026-01-15T19:30:00,PAY_REF_008,settled
SET_009,razorpay,18000.00,INR,2026-01-15T20:00:00,PAY_REF_009,settled
SET_010,bank_hdfc,22000.00,INR,2026-01-15T20:30:00,PAY_REF_010,settled
