external_transaction_id,source,amount,currency,status,transaction_date,customer_reference,payment_reference
TXN_001,razorpay,10000.00,INR,captured,2026-01-15T10:30:00,CUST_001,PAY_REF_001
TXN_002,stripe,5500.50,INR,captured,2026-01-15T11:00:00,CUST_002,PAY_REF_002
TXN_003,razorpay,25000.00,INR,captured,2026-01-15T12:00:00,CUST_003,PAY_REF_003
TXN_004,bank_hdfc,75000.00,INR,captured,2026-01-15T13:30:00,CUST_004,PAY_REF_004
TXN_005,stripe,12500.75,INR,captured,2026-01-15T14:45:00,CUST_005,PAY_REF_005
TXN_006,razorpay,3000.25,INR,captured,2026-01-15T15:30:00,CUST_006,PAY_REF_006
TXN_007,bank_icici,45000.00,INR,captured,2026-01-15T16:00:00,CUST_007,PAY_REF_007
TXN_008,stripe,8900.50,INR,captured,2026-01-15T16:30:00,CUST_008,PAY_REF_008
TXN_009,razorpay,18000.00,INR,captured,2026-01-15T17:00:00,CUST_009,PAY_REF_009
TXN_010,bank_hdfc,22000.00,INR,captured,2026-01-15T17:30:00,CUST_010,PAY_REF_010
